State,Number of CoCs,TotalHomeless2013,"Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
NY,30,77430,73273,4157,31235,27214,4021,46195,46059,136,6317,3885,2432,4045,1673,2372,2272,2212,60,4659,4201,458
OH,9,12325,10987,1338,7611,6472,1139,4714,4515,199,1753,1207,546,1677,1135,542,76,72,4,1212,1050,162
OK,8,4408,3262,1146,3179,2320,859,1229,942,287,719,330,389,617,260,357,102,70,32,437,338,99
OR,7,13822,6432,7390,8994,3602,5392,4828,2830,1998,3043,723,2320,2444,588,1856,599,135,464,1494,709,785
PA,18,15086,13727,1359,7973,6767,1206,7113,6960,153,1681,1010,671,1536,889,647,145,121,24,1462,1290,172
PR,2,4128,1402,2726,3470,1057,2413,658,345,313,2130,261,1869,1629,256,1373,501,5,496,82,40,42
RI,1,1384,1267,117,862,753,109,522,514,8,251,198,53,243,190,53,8,8,0,97,95,2
SC,4,6544,3411,3133,4736,2339,2397,1808,1072,736,483,143,340,453,125,328,30,18,12,636,345,291
SD,1,1094,755,339,557,394,163,537,361,176,217,71,146,117,42,75,100,29,71,125,106,19
TN,10,9528,6321,3207,6909,4632,2277,2619,1689,930,2219,1162,1057,1929,1079,850,290,83,207,991,728,263
TX,12,29615,17525,12090,20758,9681,11077,8857,7844,1013,5535,2168,3367,4770,1677,3093,765,491,274,3878,2007,1871
UT,3,3277,2859,418,1959,1593,366,1318,1266,52,454,349,105,347,268,79,107,81,26,327,290,37
VA,16,7625,6603,1022,4532,3587,945,3093,3016,77,1356,875,481,1262,797,465,94,78,16,719,625,94
VI,1,482,119,363,444,81,363,38,38,0,87,0,87,87,0,87,0,0,0,33,2,31
VT,2,1454,1270,184,701,547,154,753,723,30,217,140,77,183,110,73,34,30,4,128,111,17
WA,7,17760,12707,5053,10617,6032,4585,7143,6675,468,2196,1076,1120,1927,955,972,269,121,148,1318,1058,260
WI,4,6104,5736,368,3005,2703,302,3099,3033,66,521,383,138,449,313,136,72,70,2,552,528,24
WV,4,2240,1612,628,1544,1038,506,696,574,122,432,250,182,390,211,179,42,39,3,329,292,37
WY,1,953,501,452,677,306,371,276,195,81,244,116,128,221,116,105,23,0,23,137,110,27
