State,Number of CoCs,TotalHomeless2014,"Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
NM,2,2746,2318,428,1804,1429,375,942,889,53,709,490,219,617,458,159,92,32,60,318,258,60
NV,3,8582,4797,3785,7356,3571,3785,1226,1226,0,705,104,601,697,96,601,8,8,0,1036,546,490
NY,29,80590,76487,4103,32643,28600,4043,47947,47887,60,7212,4783,2429,4350,1947,2403,2862,2836,26,2542,2085,457
OH,9,11823,10720,1103,7704,6769,935,4119,3951,168,1481,1009,472,1340,894,446,141,115,26,1236,1102,134
OK,8,4191,3259,932,2964,2291,673,1227,968,259,671,416,255,585,366,219,86,50,36,408,273,135
OR,7,12164,6101,6063,7988,3665,4323,4176,2436,1740,2695,577,2118,2207,505,1702,488,72,416,1292,702,590
PA,18,15333,14301,1032,8359,7420,939,6974,6881,93,1607,1134,473,1449,983,466,158,151,7,1411,1336,75
PR,2,4132,1406,2726,3432,1019,2413,700,387,313,2063,194,1869,1567,194,1373,496,0,496,87,45,42
RI,1,1190,1170,20,779,761,18,411,409,2,204,198,6,204,198,6,0,0,0,108,108,0
SC,4,5057,3249,1808,3813,2252,1561,1244,997,247,273,100,173,273,100,173,0,0,0,703,399,304
SD,1,885,830,55,490,450,40,395,380,15,118,92,26,81,68,13,37,24,13,132,128,4
TN,10,9415,6383,3032,6800,4693,2107,2615,1690,925,2195,1364,831,1904,1169,735,291,195,96,1142,920,222
TX,12,28495,18228,10267,19177,9758,9419,9318,8470,848,5416,2231,3185,4952,1892,3060,464,339,125,2718,1576,1142
UT,3,3081,2768,313,1729,1540,189,1352,1228,124,422,380,42,386,346,40,36,34,2,317,293,24
VA,16,7020,6330,690,4234,3570,664,2786,2760,26,1021,730,291,965,674,291,56,56,0,620,535,85
VI,1,448,85,363,425,62,363,23,23,0,88,1,87,88,1,87,0,0,0,32,1,31
VT,2,1559,1396,163,823,704,119,736,692,44,283,228,55,199,159,40,84,69,15,120,111,9
WA,7,18442,12540,5902,11390,6257,5133,7052,6283,769,2535,1129,1406,2311,1015,1296,224,114,110,1433,1089,344
WI,4,6055,5712,343,2929,2676,253,3126,3036,90,524,447,77,436,359,77,88,88,0,520,496,24
WV,4,2013,1583,430,1488,1175,313,525,408,117,482,304,178,424,279,145,58,25,33,333,303,30
WY,1,757,563,194,463,327,136,294,236,58,144,104,40,105,86,19,39,18,21,116,95,21
